date,indeks_vix
1996-01-01,13.47363636363636
1996-02-01,15.033
1996-03-01,17.76238095238095
1996-04-01,16.5752380952381
1996-05-01,16.14636363636364
1996-06-01,16.395
1996-07-01,17.97863636363637
1996-08-01,15.76045454545455
1996-09-01,16.578
1996-10-01,16.38173913043478
1996-11-01,15.997
1996-12-01,19.26095238095238
1997-01-01,19.47333333333333
1997-02-01,20.13947368421053
1997-03-01,20.17
1997-04-01,19.66227272727273
1997-05-01,19.9247619047619
1997-06-01,20.19428571428571
1997-07-01,20.52909090909091
1997-08-01,23.0847619047619
1997-09-01,23.81238095238095
1997-10-01,23.87086956521739
1997-11-01,32.20611111111111
1997-12-01,26.27636363636364
1998-01-01,23.8665
1998-02-01,19.99894736842105
1998-03-01,20.15863636363637
1998-04-01,22.02857142857143
1998-05-01,20.874
1998-06-01,21.66272727272727
1998-07-01,19.93
1998-08-01,31.58809523809524
1998-09-01,38.2047619047619
1998-10-01,36.60818181818182
1998-11-01,26.223
1998-12-01,25.47909090909091
1999-01-01,28.03526315789474
1999-02-01,28.82263157894737
1999-03-01,25.30956521739131
1999-04-01,23.47857142857143
1999-05-01,26.2045
1999-06-01,23.62636363636364
1999-07-01,21.04904761904762
1999-08-01,24.32363636363636
1999-09-01,24.54142857142857
1999-10-01,24.02142857142857
1999-11-01,21.81809523809524
1999-12-01,22.15909090909091
2000-01-01,23.202
2000-02-01,23.5955
2000-03-01,22.71826086956522
2000-04-01,27.16421052631579
2000-05-01,26.37318181818182
2000-06-01,21.54
2000-07-01,19.893
2000-08-01,18.08869565217391
2000-09-01,19.6875
2000-10-01,25.2
2000-11-01,26.38285714285714
2000-12-01,26.5305
2001-01-01,24.91857142857143
2001-02-01,23.41157894736842
2001-03-01,28.49681818181818
2001-04-01,28.134
2001-05-01,22.94409090909091
2001-06-01,20.94047619047619
2001-07-01,22.31619047619047
2001-08-01,21.86173913043478
2001-09-01,35.06533333333334
2001-10-01,32.72130434782609
2001-11-01,26.63095238095238
2001-12-01,23.72
2002-01-01,22.25285714285714
2002-02-01,22.87578947368421
2002-03-01,18.985
2002-04-01,19.90045454545455
2002-05-01,20.08772727272727
2002-06-01,25.271
2002-07-01,34.04954545454546
2002-08-01,33.74272727272727
2002-09-01,37.6475
2002-10-01,35.24304347826087
2002-11-01,28.175
2002-12-01,28.21047619047619
2003-01-01,27.42428571428571
2003-02-01,32.21842105263158
2003-03-01,30.63428571428572
2003-04-01,23.99190476190476
2003-05-01,20.23952380952381
2003-06-01,20.36238095238095
2003-07-01,19.16136363636364
2003-08-01,19.27428571428571
2003-09-01,19.53238095238095
2003-10-01,18.02347826086957
2003-11-01,17.40105263157895
2003-12-01,16.82636363636364
2004-01-01,16.101
2004-02-01,15.99842105263158
2004-03-01,17.68739130434783
2004-04-01,15.69857142857143
2004-05-01,17.705
2004-06-01,15.34272727272727
2004-07-01,15.50238095238095
2004-08-01,16.68409090909091
2004-09-01,14.08095238095238
2004-10-01,14.97380952380952
2004-11-01,13.57761904761905
2004-12-01,12.45954545454546
2005-01-01,13.438
2005-02-01,11.70894736842105
2005-03-01,13.12636363636364
2005-04-01,14.45904761904762
2005-05-01,13.96761904761905
2005-06-01,11.86863636363636
2005-07-01,11.049
2005-08-01,12.95130434782609
2005-09-01,12.62809523809524
2005-10-01,14.93761904761905
2005-11-01,12.14761904761905
2005-12-01,11.26
2006-01-01,12.036
2006-02-01,12.47105263157895
2006-03-01,11.69391304347826
2006-04-01,11.84736842105263
2006-05-01,14.45454545454546
2006-06-01,16.91863636363636
2006-07-01,15.326
2006-08-01,13.35173913043478
2006-09-01,12.1845
2006-10-01,11.30636363636364
2006-11-01,10.81761904761905
2006-12-01,10.9645
2007-01-01,11.0425
2007-02-01,11.15526315789474
2007-03-01,15.16272727272727
2007-04-01,12.933
2007-05-01,13.29772727272727
2007-06-01,14.94761904761905
2007-07-01,17.27333333333333
2007-08-01,25.02608695652174
2007-09-01,22.19894736842106
2007-10-01,19.11565217391304
2007-11-01,25.58238095238095
2007-12-01,21.651
2008-01-01,25.81619047619047
2008-02-01,25.456
2008-03-01,27.1035
2008-04-01,21.56272727272727
2008-05-01,18.30333333333333
2008-06-01,22.11047619047619
2008-07-01,24.32181818181818
2008-08-01,20.69571428571428
2008-09-01,30.23857142857143
2008-10-01,61.17739130434782
2008-11-01,62.66894736842105
2008-12-01,52.405
2009-01-01,44.683
2009-02-01,45.57052631578947
2009-03-01,44.79545454545455
2009-04-01,38.06380952380952
2009-05-01,31.978
2009-06-01,29.14045454545455
2009-07-01,26.16272727272727
2009-08-01,25.33714285714286
2009-09-01,24.92666666666667
2009-10-01,24.25227272727273
2009-11-01,23.789
2009-12-01,21.23954545454545
2010-01-01,20.64315789473685
2010-02-01,22.54
2010-03-01,17.76739130434783
2010-04-01,17.42428571428572
2010-05-01,31.9295
2010-06-01,29.91636363636363
2010-07-01,25.56523809523809
2010-08-01,24.74590909090909
2010-09-01,22.51761904761905
2010-10-01,20.37333333333333
2010-11-01,20.09571428571429
2010-12-01,17.56954545454545
2011-01-01,17.3155
2011-02-01,17.43
2011-03-01,20.72347826086957
2011-04-01,16.244
2011-05-01,16.91142857142857
2011-06-01,19.15318181818182
2011-07-01,19.2275
2011-08-01,35.02913043478261
2011-09-01,36.53
2011-10-01,32.82904761904761
2011-11-01,31.94190476190476
2011-12-01,25.04761904761905
2012-01-01,20.228
2012-02-01,18.4205
2012-03-01,16.16727272727273
2012-04-01,17.823
2012-05-01,21.00181818181818
2012-06-01,21.13095238095238
2012-07-01,17.56523809523809
2012-08-01,15.6895652173913
2012-09-01,15.28473684210526
2012-10-01,16.27619047619048
2012-11-01,16.70190476190476
2012-12-01,17.307
2013-01-01,13.5052380952381
2013-02-01,14.07263157894737
2013-03-01,13.0315
2013-04-01,13.96727272727273
2013-05-01,13.49363636363636
2013-06-01,17.2715
2013-07-01,13.97454545454545
2013-08-01,14.21
2013-09-01,14.692
2013-10-01,15.40782608695652
2013-11-01,12.924
2013-12-01,14.19238095238095
2014-01-01,14.24095238095238
2014-02-01,15.47
2014-03-01,14.83666666666667
2014-04-01,14.19809523809524
2014-05-01,12.4752380952381
2014-06-01,11.54142857142857
2014-07-01,12.29636363636364
2014-08-01,13.49190476190476
2014-09-01,13.46666666666667
2014-10-01,18.05869565217391
2014-11-01,13.41315789473684
2014-12-01,16.29227272727273
2015-01-01,19.1195
2015-02-01,15.90421052631579
2015-03-01,14.81272727272727
2015-04-01,13.4947619047619
2015-05-01,13.3385
2015-06-01,14.33954545454546
2015-07-01,14.35272727272727
2015-08-01,19.42809523809524
2015-09-01,24.37714285714286
2015-10-01,16.78954545454545
2015-11-01,16.21
2015-12-01,18.02545454545455
2016-01-01,23.7178947368421
2016-02-01,22.517
2016-03-01,15.84909090909091
2016-04-01,14.30047619047619
