date,harga_emas_dunia_usd_per_troy_ounce
2008-04-01,909.7
2008-05-01,888.66
2008-06-01,889.49
2008-07-01,939.77
2008-08-01,839.03
2008-09-01,829.93
2008-10-01,806.62
2008-11-01,760.86
2008-12-01,816.09
2009-01-01,858.69
2009-02-01,943.16
2009-03-01,924.27
2009-04-01,890.2
2009-05-01,928.64
2009-06-01,945.67
2009-07-01,934.23
2009-08-01,949.38
2009-09-01,996.59
2009-10-01,1043.16
2009-11-01,1127.04
2009-12-01,1134.72
2010-01-01,1117.96
2010-02-01,1095.41
2010-03-01,1113.34
2010-04-01,1148.69
2010-05-01,1205.43
2010-06-01,1232.92
2010-07-01,1192.97
2010-08-01,1215.81
2010-09-01,1270.98
2010-10-01,1342.02
2010-11-01,1369.89
2010-12-01,1390.55
2011-01-01,1356.4
2011-02-01,1372.73
2011-03-01,1424.01
2011-04-01,1473.81
2011-05-01,1510.44
2011-06-01,1528.66
2011-07-01,1572.81
2011-08-01,1755.81
2011-09-01,1771.85
2011-10-01,1665.21
2011-11-01,1738.98
2011-12-01,1652.31
2012-01-01,1656.12
2012-02-01,1742.62
2012-03-01,1673.77
2012-04-01,1650.07
2012-05-01,1585.5
2012-06-01,1596.7
2012-07-01,1593.91
2012-08-01,1626.03
2012-09-01,1744.45
2012-10-01,1747.01
2012-11-01,1721.14
2012-12-01,1688.53
2013-01-01,1670.95
2013-02-01,1627.59
2013-03-01,1592.86
2013-04-01,1485.08
2013-05-01,1413.5
2013-06-01,1342.36
2013-07-01,1286.72
2013-08-01,1347.1
2013-09-01,1348.8
2013-10-01,1316.18
2013-11-01,1275.82
2013-12-01,1225.4
2014-01-01,1244.8
2014-02-01,1300.97
2014-03-01,1336.08
2014-04-01,1299.0
2014-05-01,1287.53
2014-06-01,1279.1
2014-07-01,1310.97
2014-08-01,1295.99
2014-09-01,1238.82
2014-10-01,1222.49
2014-11-01,1176.3
2014-12-01,1202.29
2015-01-01,1251.85
2015-02-01,1227.19
2015-03-01,1178.63
2015-04-01,1197.91
2015-05-01,1199.05
2015-06-01,1181.5
2015-07-01,1130.04
2015-08-01,1117.47
2015-09-01,1124.53
2015-10-01,1159.25
2015-11-01,1085.7
2015-12-01,1068.25
2016-01-01,1097.37
2016-02-01,1199.91
2016-03-01,1246.34
2016-04-01,1242.26
2016-05-01,1259.4
2016-06-01,1276.4
2016-07-01,1337.33
2016-08-01,1341.09
2016-09-01,1326.03
2016-10-01,1266.57
2016-11-01,1235.98
2016-12-01,1151.4
2017-01-01,1192.62
2017-02-01,1234.36
2017-03-01,1231.09
2017-04-01,1265.63
2017-05-01,1245.0
2017-06-01,1260.26
2017-07-01,1236.22
2017-08-01,1282.32
2017-09-01,1314.98
2017-10-01,1279.51
2017-11-01,1282.28
2017-12-01,1261.26
2018-01-01,1331.67
2018-02-01,1331.53
2018-03-01,1324.66
2018-04-01,1334.74
2018-05-01,1303.03
2018-06-01,1281.57
2018-07-01,1238.53
2018-08-01,1201.25
2018-09-01,1198.47
2018-10-01,1215.39
2018-11-01,1220.95
2018-12-01,1247.92
2019-01-01,1291.75
2019-02-01,1320.07
2019-03-01,1300.9
2019-04-01,1286.45
2019-05-01,1283.95
2019-06-01,1359.04
2019-07-01,1412.98
2019-08-01,1498.8
2019-09-01,1511.31
2019-10-01,1494.8
2019-11-01,1470.02
2019-12-01,1476.04
2020-01-01,1560.67
2020-02-01,1597.1
2020-03-01,1591.93
2020-04-01,1682.93
2020-05-01,1716.38
2020-06-01,1732.22
2020-07-01,1843.31
2020-08-01,1968.56
2020-09-01,1922.21
2020-10-01,1900.28
2020-11-01,1863.49
2020-12-01,1855.96
2021-01-01,1866.99
2021-02-01,1808.18
2021-03-01,1718.23
2021-04-01,1761.68
2021-05-01,1853.22
2021-06-01,1834.57
2021-07-01,1807.09
2021-08-01,1783.97
2021-09-01,1777.25
2021-10-01,1776.85
2021-11-01,1820.23
2021-12-01,1786.65
2022-01-01,1816.77
2022-02-01,1856.3
2022-03-01,1947.83
2022-04-01,1933.9
2022-05-01,1848.3
2022-06-01,1833.83
2022-07-01,1736.37
2022-08-01,1765.65
2022-09-01,1682.97
2022-10-01,1664.45
2022-11-01,1726.45
2022-12-01,1796.74
2023-01-01,1898.63
2023-02-01,1854.54
2023-03-01,1912.73
2023-04-01,2000.42
2023-05-01,1990.22
2023-06-01,1942.9
2023-07-01,1948.85
2023-08-01,1920.03
2023-09-01,1916.96
2023-10-01,1913.04
2023-11-01,1985.27
2023-12-01,2029.29
2024-01-01,2034.04
2024-02-01,2023.24
2024-03-01,2158.01
2024-04-01,2335.49
2024-05-01,2352.14
2024-06-01,2326.33
2024-07-01,2395.31
2024-08-01,2467.97
2024-09-01,2567.12
2024-10-01,2690.08
2024-11-01,2650.68
2024-12-01,2644.07
2025-01-01,2709.69
2025-02-01,2894.73
2025-03-01,2983.25
2025-04-01,3207.48
2025-05-01,3277.99
2025-06-01,3352.0
2025-07-01,3338.31
2025-08-01,3362.99
2025-09-01,3665.2
2025-10-01,4053.28
2025-11-01,4082.95
2025-12-01,4289.48
