date,cadangan_devisa_juta_usd
2019-12-01,125339.390220658
2020-01-01,127735.559801691
2020-02-01,126302.309068569
2020-03-01,116874.655629184
2020-04-01,123563.205770056
2020-05-01,126211.125225306
2020-06-01,127236.011911942
2020-07-01,130128.478816132
2020-08-01,132062.022946727
2020-09-01,130366.649306432
2020-10-01,128828.355301837
2020-11-01,129065.397378067
2020-12-01,131139.029065842
2021-01-01,133352.532466451
2021-02-01,134292.88634782
2021-03-01,132849.600065702
2021-04-01,134332.574265959
2021-05-01,131585.671517507
2021-06-01,132654.263680002
2021-07-01,132723.921939529
2021-08-01,140209.666477972
2021-09-01,142462.749479281
2021-10-01,140945.772293425
2021-11-01,141346.541826357
2021-12-01,140310.235087496
2022-01-01,136827.585041983
2022-02-01,136604.347891915
2022-03-01,134259.23224944
2022-04-01,130864.367641017
2022-05-01,130872.69998765
2022-06-01,131759.279310988
2022-07-01,127754.186814416
2022-08-01,127836.546540974
2022-09-01,126579.037839447
2022-10-01,126038.262186347
2022-11-01,129563.558393685
2022-12-01,132644.357980272
2023-01-01,134547.228593466
2023-02-01,135754.814227411
2023-03-01,140196.854408603
2023-04-01,139131.93713354
2023-05-01,134322.762592697
2023-06-01,132642.637666199
2023-07-01,132735.023302831
2023-08-01,132175.978969734
2023-09-01,130147.364552711
2023-10-01,128113.214985045
2023-11-01,132914.351368271
2023-12-01,141149.364857112
2024-01-01,139905.364331833
2024-02-01,138899.24426589
2024-03-01,134841.95352115
2024-04-01,130363.578520941
2024-05-01,133070.445944676
2024-06-01,134304.194847571
2024-07-01,139327.488130632
2024-08-01,143869.760356096
2024-09-01,143232.254637964
2024-10-01,144216.272327337
2024-11-01,143518.270197244
2024-12-01,149117.682033459
2025-01-01,149007.2796457768
2025-02-01,147262.5448893892
2025-03-01,149435.1796680122
2025-04-01,144109.8717649013
2025-05-01,144092.4281376082
2025-06-01,144250.582849684
2025-07-01,143598.5886861702
2025-08-01,141883.3115715848
2025-09-01,138806.6007370213
2025-10-01,139041.9029757337
2025-11-01,138657.1914689393
2025-12-01,144531.0578696711
